agency_id,agency_name,agency_url,agency_timezone,agency_phone,agency_lang
2,"Miejskie Przedsiębiorstwo Komunikacyjne Sp. z o.o. w Poznaniu","http://www.mpk.poznan.pl","Europe/Warsaw","61 646 33 44","pl"
4,"Kórnickie Przedsiębiorstwo Autobusowe KOMBUS Sp. z o.o.","http://www.kombus.com.pl","Europe/Warsaw","61 898 06 66","pl"
5,"Przedsiębiorstwo Wielobranżowe TRANSKOM Sp. z o.o.","http://www.transkom.com.pl","Europe/Warsaw","61 651 47 14","pl"
6,"Przedsiębiorstwo Transportowe Translub Sp. z o.o.","http://www.translub.pl","Europe/Warsaw","61 813 01 45","pl"
7,"Przedsiębiorstwo Usług Komunalnych Komorniki sp. z o.o.","http://www.pukkomorniki.pl","Europe/Warsaw","61 810 81 71","pl"
8,"Zakład Usług Komunikacyjnych ROKBUS Sp. z o.o.","http://www.rokbus.com.pl","Europe/Warsaw","61 102 50 90","pl"
9,"Zakład Komunikacji Publicznej Suchy Las Sp. z o.o.","http://www.zkp.com.pl","Europe/Warsaw","61 811 65 57","pl"
10,"Komunikacja Gminy Tarnowo Podgórne TPBUS Sp. z o.o.","http://www.tpbus.com.pl","Europe/Warsaw","61 814 67 92","pl"
11,"Swarzędzkie Przedsiębiorstwo Komunalne Sp. z o.o.","http://www.spk.swarzedz.pl","Europe/Warsaw","61 817 34 21","pl"
12,"Zakład Komunalny w Kleszczewie Sp. z o.o.","http://www.zk.kleszczewo.pl","Europe/Warsaw","61 817 60 62","pl"
14,"Urząd Gminy Dopiewo","http://www.dopiewo.pl","Europe/Warsaw","","pl"
