route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
T12,2,"T12","OS. SOBIESKIEGO - OS. SOBIESKIEGO","OS. SOBIESKIEGO - Szeligowskiego - Księcia Mieszka I - Słowiańska - Winogrady - Księcia Mieszka I - Szeligowskiego - Szymanowskiego - Smoleńska - OS. SOBIESKIEGO^Ż - kurs skrócony do przystanku: Żniwna",3,000000,FFFFFF
1,2,"1","JUNIKOWO - FRANOWO|FRANOWO - JUNIKOWO","JUNIKOWO - Grunwaldzka - Reymonta - Hetmańska - Żegrze - Chartowo - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka|FRANOWO - Piaśnicka - Chartowo - Żegrze - Hetmańska - Reymonta - Grunwaldzka - JUNIKOWO^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka",0,D0006F,FFFFFF
2,2,"2","DĘBIEC PKM - OGRODY|OGRODY - DĘBIEC PKM","DĘBIEC PKM - 28 Czerwca 1956 r. - Wierzbięcice - Matyi - Towarowa - Święty Marcin - Zwierzyniecka - Kraszewskiego - Dąbrowskiego - OGRODY^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OGRODY - Kraszewskiego - Zwierzyniecka - Święty Marcin - Towarowa - Matyi - Wierzbięcice - 28 Czerwca 1956 r. - DĘBIEC PKM^G - zjazd do zajezdni Głogowska przez przystanek: Poznań Główny, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,72C4E7,000000
3,2,"3","SŁOWIAŃSKA - BŁAŻEJA|BŁAŻEJA - SŁOWIAŃSKA","SŁOWIAŃSKA - Trasa PST - Głogowska - Roosevelta - Pułaskiego - Winogrady - Przełajowa - Naramowicka - al. Praw Kobiet - BŁAŻEJA^F - zjazd do zajezdni Franowo przez przystanek: Dworzec Zachodni, Głogowska/Hetmańs ka, Traugutta, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^W - kurs skrócony do przystanku: Wilczak|BŁAŻEJA - Naramowicka - Przełajowa - Winogrady - Pułaskiego - Roosevelta - Głogowska - Trasa PST - SŁOWIAŃSKA^F - zjazd do zajezdni Franowo przez przystanek: Dworzec Zachodni, Głogowska/Hetmańs ka, Traugutta, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Most Dworcowy, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,8E364C,FFFFFF
5,2,"5","UNII LUBELSKIEJ - GÓRCZYN PKM|GÓRCZYN PKM - UNII LUBELSKIEJ","UNII LUBELSKIEJ - Unii Lubelskiej - Hetmańska - Zamenhofa - Krzywoustego - Królowej Jadwigi - Matyi - Głogowska - GÓRCZYN PKM^F - zjazd do zajezdni Franowo przez przystanek: Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Żegrze, Rondo Starołęka, Tr augutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Żegrze, Ron do Starołęka|GÓRCZYN PKM - Matyi - Królowej Jadwigi - Krzywoustego - Zamenhofa - Hetmańska - Unii Lubelskiej - UNII LUBELSKIEJ^G - zjazd do zajezdni Głogowska^H - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Głogowska/Hetmańs ka, Traugutta, Rondo Starołęka^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^Z - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Traugutta, Rondo Starołęka, Os. Czecha",0,6CC24A,000000
6,2,"6","MIŁOSTOWO - JUNIKOWO|JUNIKOWO - MIŁOSTOWO","MIŁOSTOWO - Warszawska - Jana Pawła II - Krzywoustego - Królowej Jadwigi - Matyi - Roosevelta - Bukowska - Grunwaldzka - JUNIKOWO^B - kurs skrócony do pętli: Budziszyńska^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Bałtyk, Rondo Nowaka-Jeziorańskie go^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Rataje, Ron do Starołęka|JUNIKOWO - Bukowska - Roosevelta - Matyi - Królowej Jadwigi - Krzywoustego - Jana Pawła II - Warszawska - MIŁOSTOWO^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Most Dworcowy, Dworzec Zachodni^H - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Nowaka-Jezi orańskiego, Głogowska/Hetmańska, Rondo Starołęka^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Rataje, Ron do Starołęka",0,009639,FFFFFF
7,2,"7","ZAWADY - OGRODY|OGRODY - ZAWADY","ZAWADY - Podwale - Jana Pawła II - Zamenhofa - Hetmańska - Reymonta - Przybyszewskiego - Dąbrowskiego - OGRODY^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka|OGRODY - Przybyszewskiego - Reymonta - Hetmańska - Zamenhofa - Jana Pawła II - Podwale - ZAWADY^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka",0,003594,FFFFFF
8,2,"8","GÓRCZYN PKM - OGRODY|OGRODY - GÓRCZYN PKM","GÓRCZYN PKM - Głogowska - Roosevelta - Dąbrowskiego - OGRODY^G - zjazd do zajezdni Głogowska^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Głogowska/Hetmańs ka, Traugutta, Rondo Starołęka|OGRODY - Roosevelta - Głogowska - GÓRCZYN PKM^G - zjazd do zajezdni Głogowska przez przystanek: Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Głogowska/Hetmańs ka, Traugutta, Rondo Starołęka",0,DA291C,FFFFFF
9,2,"9","DĘBIEC PKM - ALEJE MARCINKOWSKIEGO|ALEJE MARCINKOWSKIEGO - DĘBIEC PKM","DĘBIEC PKM - 28 Czerwca 1956 r. - Górna Wilda - Królowej Jadwigi - Strzelecka - Aleje Marcinkowskiego - ALEJE MARCINKOWSKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Rynek Wildecki, AWF, Rondo Rataje, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|ALEJE MARCINKOWSKIEGO - Strzelecka - Królowej Jadwigi - Górna Wilda - 28 Czerwca 1956 r. - DĘBIEC PKM^G - zjazd do zajezdni Głogowska przez przystanek: AWF, Rynek Wildecki, Pamiątkowa^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,FF671F,000000
10,2,"10","BŁAŻEJA - DĘBIEC PKM|DĘBIEC PKM - BŁAŻEJA","BŁAŻEJA - al. Praw Kobiet - Naramowicka - Przełajowa - Winogrady - Pułaskiego - Roosevelta - Matyi - Wierzbięcice - 28 Czerwca 1956 r. - DĘBIEC PKM^F - zjazd do zajezdni Franowo przez przystanek: Pamiątkowa, Rondo Starołęka, Os. Cz echa^G - zjazd do zajezdni Głogowska przez przystanek: Most Dworcowy, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|DĘBIEC PKM - Wierzbięcice - Matyi - Roosevelta - Pułaskiego - Winogrady - Przełajowa - Naramowicka - al. Praw Kobiet - BŁAŻEJA^F - zjazd do zajezdni Franowo przez przystanek: Rynek Wildecki, AWF, Rondo Rataje, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,F1B434,000000
