stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
355,"SUCH02","Sucholeska",52.4623384300,16.8688846200,A
2186,"ZSNZ02","Żerniki/Skrzyżowanie",52.3268396556,17.0426260111,B
3885,"KBKAR01","Kobylniki/Karolewska",52.4758991888,16.7240102174,B
4204,"PAWL01","Pawłowicka",52.4781025600,16.7862871300,A
494,"POLA03","Połabska",52.4361636300,16.9308478800,A
3736,"KOKRY01","Komorniki/Kryształowa",52.3477960000,16.7829080000,B
2040,"TPKAI02","Tarnowo Pdg/Karolewo I",52.4691534857,16.6846222807,C
3932,"UNLU01","Unii Lubelskiej",52.3723874700,16.9496976300,A
2795,"PTJOD01","Potasze/Jodłowa",52.5244519700,17.0299407900,C
3861,"MWSTO01","Miękowo/Stokrotkowa",52.4902416133,16.9895430556,C
2449,"PKDWO02","Paczkowo/Szkoła (Dworska)",52.4022850000,17.1588230000,C
1532,"POKR02","Pokrzywno",52.3507785100,16.9820619800,A
1757,"GLSTW04","Głuchowo/Stawna",52.3465437186,16.7688141799,C
2047,"TPCEN02","Tarnowo Pdg/Centrum",52.4642589300,16.6639011600,C
1856,"KICZE02","Kiekrz/Czereśniowa",52.4987834900,16.7504222400,B
1956,"PMWIA02","Przeźmierowo/Wiadukt",52.4354184600,16.7863166501,B
1469,"PILS01","Piłsudskiego",52.3917749100,16.9530540900,A
2285,"MELIS02","Mielno/Lisia",52.4894689300,17.0718976700,C
1635,"REMO02","Rezerwat Morasko",52.4879355700,16.8974506500,A
3096,"LUZSK04","Luboń/Zespół Szkół",52.3481672883,16.8976329507,B
2361,"SDKOS02","Swarzędz/Os. Kościuszkowców",52.4210380000,17.0814040000,B
146,"LOMZ42","Łomżyńska",52.4096310300,16.9851960400,A
1821,"PWPAW02","Pawłowice/Pawłowicka",52.4878779600,16.7987427900,B
1614,"CZ I02","Os. Czecha I",52.3824873200,16.9819436900,A
620,"OGDY01","Ogrody",52.4169067600,16.8818094600,A
2333,"ZNNSW01","Zimin/Nowy Świat Centrum",52.2989001200,17.1753768100,B
743,"OSTR01","Ostroroga",52.4007473900,16.8824578700,A
282,"ZLLAG02","Złotniki/Łagiewnicka",52.4914781500,16.8466062100,B
3616,"WIPKM02","Wiry/PKM",52.3157387225,16.8671290672,B
2754,"GDSPE01","Gądki/Spedycyjna",52.3098570600,17.0537812300,B
2974,"BRKUR01","Borówiec/Kurkowa",52.2812629632,17.0204601509,B
636,"ZGOR01","Zgorzelecka",52.4120717800,16.8580344800,A
1026,"SMIE01","Śmiełowska",52.3738876800,16.8769520100,A
729,"ROSK01","Rondo Skubiszewskiego",52.3899356513,16.8529470488,A
3680,"SARB01","Sarbinowska",52.3744067243,16.9640715011,A
2656,"PSWIE02","Prusinowo/Wieś",52.1992802700,17.1265615400,C
3931,"UNLU02","Unii Lubelskiej",52.3720359000,16.9498156900,A
3944,"UNLU04","Unii Lubelskiej",52.3721440700,16.9504207500,A
1794,"RSROS01","Rosnowo/",52.3252390600,16.7822946900,C
362,"HULE01","Hulewiczów",52.4565911000,16.8979252100,A
3328,"JAI01","Jasielska I",52.4455623805,16.8969245877,A
799,"URWO01","Urząd Wojewódzki",52.4111032500,16.9190324100,A
777,"MARS02","Marszałkowska",52.4007296784,16.8641480394,A
2117,"NKRZ01","Nad Krzesinką",52.3361875492,17.0085507972,A
2314,"KEPAL02","Krerowo/Pałac",52.2954916400,17.1947686100,B
3941,"SERB42","Serbska",52.4315024800,16.9457868800,A
1802,"SZDWO02","Szreniawa/Dworcowa",52.3178147185,16.7930608565,C
519,"TULO01","Tułodzieckiej",52.4524763700,16.8871356900,A
1596,"PAMI71","Pamiątkowa",52.3871000200,16.9161885900,A
3839,"MELES01","Mielno/Leśna",52.4937747968,17.0673301722,C
1308,"KALAK01","Kamionki/Łąkowa",52.2884008800,16.9816866100,B
2019,"CYCDR02","Chyby/Cedrowa",52.4522397117,16.7746729326,B
2514,"JSEKO01","Jasin/Rabowicka Pętla",52.3980640000,17.1091890000,B
2421,"SDRAC04","Swarzędz/Os. Raczyńskiego",52.3991740000,17.0633550000,B
1542,"KRWI01","Krzesiny Wiadukt",52.3399782700,16.9996564200,A
3123,"KNDOP02","Konarzewo/Dopiewska",52.3354928413,16.7090017755,C
2841,"LUPOL02","Luboń/Polna",52.3216956670,16.8731206379,B
1442,"NOGO02","Nowowiejskiego",52.4148221700,16.9196701800,A
1770,"PLSZK01","Plewiska/Szkoła",52.3632100000,16.8070200000,B
1502,"PK01","Piaśnicka/Kurlandzka",52.3843560800,16.9867470100,A
1734,"JUST02","Junikowo PKM",52.3786973279,16.8268704343,A
1574,"DMOW01","Dmowskiego",52.3870716600,16.8966194900,A
262,"ZILAS02","Zielątkowo/Las",52.5462284100,16.8001455900,C
914,"LUTAR04","Luboń/Targowa",52.3395977753,16.8755851510,B
1986,"BTZAK01","Batorowo/Zakrzewska",52.4241627600,16.7197013400,C
3846,"RZEG44","Rondo Żegrze",52.3770800000,16.9565900000,A
950,"WIPLD02","Wiry/Południowa",52.3175980974,16.8569168333,B
1720,"POGL41","Poznań Główny",52.4030270500,16.9150742200,A
49,"ROSO41","Rondo Solidarności",52.4339826300,16.9379315500,A
1648,"PJNZ01","Podjaryszki",52.3377043700,17.0150863200,A
2973,"KOKLB01","Komorniki/Kolumba",52.3477701100,16.7964773100,B
205,"Z II41","Żegrze II",52.3807026800,16.9659212900,A
3312,"ARNI01","Arnikowa",52.4920666774,16.9424369132,A
399,"STOI02","Stoińskiego",52.4502145200,16.9271609000,A
2510,"JSRDW01","Jasin/Rabowicka I",52.4005070000,17.0927200000,B
2226,"SWORZ02","Szewce/Orzechowa",52.3588011600,17.0960952400,B
1420,"OBOH01","Os. Bohaterów II Wojny Światowej",52.3834586900,16.9470939000,A
58,"OGDY41","Ogrody",52.4170536400,16.8824626700,A
3660,"BOPKM01","Bolechowo-Os./PKM",52.5401473401,16.9784010952,C
1070,"JUGO02","Jugosłowiańska",52.3911399600,16.8662390600,A
780,"WOPO02","Wojska Polskiego",52.4275206900,16.8978431400,A
412,"OSZY02","Os. Zygmunta Starego",52.4602850600,16.9083573400,A
4150,"REKR02","Rekreacyjna",52.4646400000,16.8003498300,A
3101,"CESZK03","Czerwonak/Szkolna",52.4657982376,16.9835662424,B
3119,"TRCZI02","Trzek/Czereśniowa",52.3588272477,17.1519943134,B
2972,"GLMOR02","Głuchowo/Morelowa",52.3449110690,16.7636785478,C
1822,"PWPAW01","Pawłowice/Pawłowicka",52.4879881900,16.7987727600,B
67,"BUKO41","Bukowska",52.4100521300,16.8888257200,A
