route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,brigade
T12,2,"2_5683071^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683072^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683073^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683074^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683075^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683076^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683077^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683078^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683079^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683080^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683081^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683082^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683083^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683084^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683085^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683086^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683087^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683088^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683089^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683090^+","Os. Sobieskiego",1,611636,0,1
T12,2,"2_5683095^+","Os. Sobieskiego",1,611636,0,10
T12,2,"2_5683096^+","Os. Sobieskiego",1,611636,0,10
T12,2,"2_5683097^+","Os. Sobieskiego",1,611636,0,10
T12,2,"2_5683098^+","Os. Sobieskiego",1,611636,0,10
T12,2,"2_5683099^+","Os. Sobieskiego",1,611636,0,10
T12,2,"2_5683100^+","Os. Sobieskiego",1,611636,0,10
T12,2,"2_5683101^+","Os. Sobieskiego",1,611636,0,10
T12,2,"2_5683106^+","Os. Sobieskiego",1,611636,0,11
T12,2,"2_5683107^+","Os. Sobieskiego",1,611636,0,11
T12,2,"2_5683108^+","Os. Sobieskiego",1,611636,0,11
T12,2,"2_5683109^+","Os. Sobieskiego",1,611636,0,11
T12,2,"2_5683118^+","Os. Sobieskiego",1,611636,0,12
T12,2,"2_5683119^+","Os. Sobieskiego",1,611636,0,12
T12,2,"2_5683120^+","Os. Sobieskiego",1,611636,0,12
T12,2,"2_5683121^+","Os. Sobieskiego",1,611636,0,12
T12,2,"2_5683133^+","Os. Sobieskiego",1,611636,0,2
